"","subjName","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25"
"228","xpzknjl","8ayhl","-0.95619","-1.765","6u9","-0.67192","n279",".","-1.79001","-0.39705","y3n2","-1.2435","-1.50221","s317","5eb","-0.1726","k73h3","-1.34699","g75h","-1.89361","rg","fji","nz7","c39","-0.09161","r3c"
"229","nlspocf","g0ydj","0.93795","1.17767"," ","1.69055","x42j","1.23722","1.46275","-1.96233","617b","-0.39318","0.38999","428w","p07","1.75262","nv88q","-0.03823","3c0g","-0.49344","so","40e","nm1","063","-0.78958","049"
"230","fqugkxl","l","-1.58121","0.01316","6zi","2.13021","sd2t","1.64373","0.54977","g","q7kc","0.74863","0.28878","6fve","a","0.44116","51u90","0.68093","9r9p","0.54979","r9","slq","tyd","guk","-1.93866","mk7"
"231","dkwupjl","9582h","1.67943","0.38074","s40","1.44822","86w5"," ","-1.73743","0.12759"," ","1.61172","1.50207","2934","6wq","1.06162","8sj6b","1.21602","rfju","-0.0719","ko","7ut","jw4","2qw","0.45288","v93"
"232","fphgjum","o032q","-1.79286","0.11154","z1v","-0.84043","tng3","-1.25908","-1.88468","0.08754","69x2","i",".","lxrt","0s9","-1.88885","7gb31","-1.07176","5x1n","0.4162","30","o35","o3m","0s0","0.59832","73f"
"233","mnqtajh","61718","0.06784","0.46438","479","-0.28184","j9t6","0.03792","0.1317","1.9474","q587","0.36587","-1.5221","1t6y","65k","0.82008","8xc18","0.28951","x138","0.27049","8h","6f4","887","421","0.98511","tko"
"234","weuybgo","hct1x","-1.69745","0.80695","1yq","0.35553","2qsj","-1.39907","-0.88805","-2.55833","fx8c","0.05174","-0.77594","nipb","919","-1.35298","20hq3","-1.30811","9ea4","0.0755","c2","wi1","oz9","1d2","0.97368","a4p"
"235","wkzumdt","645g9","-0.28625","1.01091","6j4",".","3431","1.09017","-0.80269","1.09683","t7qz","0.04833","1.14337","oz9d","h5n","1.49208","h8025","0.60756","89sv","0.67552","3v","05u","ec9","t4n","0.89563","gk7"
"236","rtuyfwx","v0cj6","-1.05216","0.57414","r7f","0.87272","ap64"," ","0.36201","-0.61071","7ihj","0.94583","0.26668","p309","dl6","0.76647","53426","0.68614","0li8","-1.49936","2w","175","j16","4md","-1.51269","4z3"
"237","erfsyck","uq308","1.98908","2.02799","t45","1.83074","l10z","1.50651","0.88837","1.01446"," ","2.26223","2.0683","2v2q","h95","0.52114","ofig4","3.01056","0399","1.08666","am","26y","r5m","74a","1.83319","f71"
"238","cenzkgb","h4ndl","-0.34914","-0.07395","0x2","-1.02085","z532","2.10218","1.08645","1.76597","4983","1.24594","0.29843","zt32","4n9","-0.8859","1s50i","-0.20227","ar57","-0.28643","ph","6g3","55s","9cq","0.92024","53q"
"239","weqmpkl","5908e","0.32109","-0.49877","27t","0.75824","6787","1.73056","0.83442","-0.70227","92is","-0.81669","-0.06417","5y63","735","-0.41706","g7605","-0.30214","x661","-0.82011","0s","fbr","124",".","-0.2874","wad"
"240","klwrxjf","o14m8","1.90092","0.03628","24a","1.42917","3k1o","1.37518","1.64141","0.14328","ami6","1.45141","1.45398","84pt","gnh","-0.29545","r915j","1.12846","0p75","1.19004","83"," ","55e","qta",".","2h1"
"241","ybwgzua","09ezt","-0.54176"," ","d9o","0.50837","2ow6","-1.25233","0.62812","1.02933","yh4m","-0.60406","p","772h","183","0.02573","gm3a2","1.33703","k5y8","0.76134","29","xl7","mls","3op","-0.4845","0v1"
"242","zgathxq","m863v","1.2956","0.59321","809","1.19289","5580","-1.47154","-1.36491","0.1007","u8y9","-0.56963","0.49143"," ","369","1.32892","97794","2.42499","4d4u","1.0525","mr",".","9t0","3gw","0.97414","g4f"
"243","sqvywpk","91425","-0.03509","-0.08006","0iv","1.11397","is9e","1.66984","1.02028","1.28107","du9a","0.49378","0.61288","7338","308",".","3p197","0.6415","d16n","1.28545","ms","28p","agl","76k","0.29292","g2p"
"244","axkwdrs","pj0et","-0.79299","-1.13773","08n","0.19072","xuyp","0.08926","0.79994","0.18795","z28f","-2.21997","-0.06748","gnoc","92i","-1.33658","zsh34"," ","m651","-1.32126","6j","206","942","4it","0.57849","m5d"
"245","cuprkdl","6lq47","1.2874","-0.04448","wj7"," ","1286","0.06719","1.54565","-0.34304","85hn","1.28112","-1.32013","1128","f81","0.2305","p62h5","p","a007","0.24603","8s","vwh","g6b","y69","0.87478","3hj"
"246","pdwuzyh","ucxwd","-0.38488","-0.30311","639","-0.92826",".","-0.89919","0.90024","1.26581","x4a6","0.6487"," ","3y3u","0uf","-1.4271","eu837","0.91174","xjb3","0.06132","k7","y3v","i6f","279","0.39112","ik9"
"247","mhuvijq","f4pn8","-0.71376","-0.45883","5d8","1.40985","8851","1.86067","-0.04846","-1.39837","87dg","-0.75584","0.1741","69ju","gfe","0.91285","rn4s6","-0.00577","y5w8","-0.72174","g8","ft0","9ok","eh9","-0.98877","uh8"
"248","ubejhwq","01691","0.5339","-0.0332","s87","-0.13923","9o5i","0.49235","1.95867","-0.40768","u","1.15425","0.61118","ud8o","408","0.75366","h13c1","-2.07416","53x1","-0.09929","41","y84","553","32i","0.13718","m02"
"249","xuviaco","d","-1.07405","0.00373","c0v","0.40796","9oaq","1.71925","-0.89727","-0.98124","t04a","0.1632","0.57892","8ks8","6ga","-0.9149","0ofr1","-0.77788","0452","-0.94746","65","s1v","083","2a8","-2.04746","8qu"
"250","envrpqs","t9868","0.74609","0.36371","bke","1.33003","wa7e","0.8423","-0.27216","-1.15311","7e6j","-1.62293","0.95379","1ram","2y9","0.91509","99b6s","-0.92233","7939","1.23029","65","4c8","u4m","031","-1.45258","rcb"
"251","pqregci","9z7o5","-0.34852","-0.93689","764","-2.63971","gmsn","0.4001","1.07754","-1.11503","8686","-1.13071"," ","0szo","w6n","-0.6691","wp336","-1.37804","9391","1.44828","jf","zf2","q54","653",".","59h"
"252","inyxrgm","cy589","-0.75886","0.438","0je","0.61533","8lwg","0.13244","0.5392","1.81824","4cp0","1.57246","-0.37713","n092","1n6","1.32826",".",".","9yap","0.80941","1s","e6i","9vy","086","0.67682"," "
"253","yvdfowe","4v86e","0.4209","0.53799","4f2","1.53338","9682","1.38127","-0.41579","0.96022","a3it","2.02706","2.45555","06b1","k4q","1.0105",".","2.15644","81jz","-0.35134","42","ym9","414","u9q","-0.59102","j20"
"254","fjklxdi","l8866","0.13204","-0.53637","i75","-0.5889","894z","0.3373","-1.56148","0.36315","l098","-0.71228","0.0373","l64m","a4u","0.75926","o21ge","z","97a8","-0.97525","5t","zx3","4m0","542","1.1123","6iz"
"255","wpfrmvh","u596x","0.91422","-0.67941","776","0.15691","uj4o","-0.75382","0.51173","-0.12661","1t8d","0.06049","0.15703","i1e1","qr3","0.69763","th35w","-0.1313","l","0.75313","3y",".","h80","mro","-0.40771","40q"
"256","kzshetg","h","-0.1808","0.33062","wf6","-0.8778","1t35","-1.58242","0.38529"," ","5cz4","1.08846","0.39068","8lg8","5x7","-0.23625","fo94h","-0.16061","09i2","-0.33531","e5","l01","479","958","-0.97492","ul4"
"257","zxcjatb"," ","0.06791","-0.14507","487","-0.84007","8tj8","0.48654","-0.80197","0.41902","hz1v","-0.90334","-0.76256","gzea","q00","0.18331","8r637","-1.14224","4i9g","-1.17841","i","c6t","rc0","y4r","0.26296","00q"
"258","zrpyhnj","2s52d","-0.53928","-0.27072","1z5","0.11314",".","-0.49849","-0.20449","-0.203","567n","0.51418","-0.03679","y6oc","z0b","-0.3242","d89x4","-0.11536","e1c3","-0.01144","8y","691","5n9",".","-1.24684","th8"
"259","qgdsifp","x2g9t","0.95083","0.82822","pq0",".","t6xp","-0.27638","-0.7868","0.37166","hl5r","-0.05496","-1.4697","b6r1","7iv","-0.40734","03891","0.37475","127i","1.06379","pt","34g","s06","3d9","-0.25168","011"
"260","cipuqfm","754sy","-0.46561","0.31157","n2m","0.50702","dt0w","-0.95185","-0.93534","-1.31797","355k","-0.63356","0.31899","660b","np6","2.19524","h8le1","0.19997","5c0n"," ","60","16q","m90","649","-1.95661","f17"
"261","kwuvbde","5i0rk","-0.12288","-0.67376","5jw","-0.05827","f70z","-1.09087","0.09033","0.33416","7g1z","-2.23742","-0.17785","i8t4","30b","0.16691","jgpa6","-0.22955","ngx7","-0.6108","33","19i","391","o59","0.75485","j34"
"262","lzqamfy","x2o8n","0.14737","-1.42957","1a1","-0.64954",".","0.36608","-0.76888","-0.54448","55q6","-0.26721","-1.62331","8742","9i1","-1.32401","bd5hf"," ","rp20","0.34705","0c","444","h5p","oy1","0.05128","98x"
"263","tersqgl","523om","-1.0152","-0.30501","401","-0.7491","c85s","-1.2855","0.1658","-0.84122","9dwg","1.02074","0.04708","ciea","54a","-0.25502"," ","-0.97181","z0r6","1.49555","c9","215","94p","24x","-1.16127","d95"
"264","eiultfj","56274","0.10014","-1.04383","97e","-0.53627","uzw3","-0.52312","0.37666"," ","nkmt"," ","-2.19538","9lnu","aec","-1.3376","h","0.04527","8k55","3.00903","0x","aop","xs0","oq7","-1.54235","967"
"265","qzjfelt","89n67","0.80919","-0.34083","hy9","-0.08431","kn49","1.02277","0.71002","-0.20633","6li2","0.89265",".","5jd2","c7x","0.80233","f70r4","-0.1484","2ot0","0.84371","69","b6q","76p","176","-1.17122","720"
"266","dnujvza","i5230","0.59811","-0.88423","57u","1.68979","j","0.56622","-0.77616","0.54455","26q7","0.68894","-0.18749","bz66","8q2","1.20408","5s0pu","2.12893","7964","0.77624","84","561","9s1","3u0"," ","wdn"
"267","mdyhulw","3370j","0.88521","0.89649","6qa","-0.63647","fx7l","0.21469","1.63341","-0.42328","i537","1.85989","0.62462","3148","47l","0.10785","o","-0.01365","7qe8","1.1733","n2","332","s9g","c96","1.42168","c88"
"268","sjkuyrd","0dz84","-0.36344","0.60949"," ","1.08064","xj13","0.0728",".","-0.77717","i63p","0.7121","0.85269","um83","558","1.03916","46lrd","e","rwmx","0.8029","r5","6we","f40","i57","-0.83355","416"
"269","bwjneps","z38n9","0.50006","0.08654","8y4","-0.11583","5sf8","2.14003","0.29962","1.0914","c3fg","0.534","-1.04001","gu9w","sw0","1.0738","t7830","-0.2293","8yul","0.78323","83","nvj","4ws","53n","1.36603","h5d"
"270","eslktqh","ue965","-1.42508","-0.20396","730","0.95786","0zbu","-1.81784","-0.00721","0.95825","g4z9","1.32187","0.88098","7u7l","9b3","-1.40466","is342","-0.84029","b345","0.13077","2c","x08","7w6","sa2","-0.57279","3oj"
"271","nmzbywa","832r8","1.23709","-0.1614","32n","1.47082","k959","1.13968","-0.1721","0.15068","375x","-1.82621","-1.57489","efo1","f5h","0.50949","n3t3y","2.00754","p38v","1.24854","2c","j83","kz5","crl","0.60954","20g"
"272","pjycfaz"," ","1.79986","0.62406","14k","-0.68338","42tm","0.47498","-0.25071","-0.506","4cb8","0.65822","2.2117","7u9b","307","1.08493","5q3i6","0.63166","9pjs","0.66475","ie","y","73b","tpc",".","fv4"
"273","zwtaynl","jr127","0.37647","0.94855","324","0.1792","17jh","0.15869","0.48065","0.74588","1u2y","1.12652","1.19652","25s4","ehf","0.29829","7nqkg","-0.14062","c9kv","0.65687","me","02y","k80","5xc","-0.08875","0g3"
"274","nbqgpcx","lisy5","0.8006","0.31358","f1b","-0.16039","943m","1.4145","-0.10694","2.30667","13yw","-0.27142","-1.35085","g814","4v8","-0.22718","v0rwa","-0.30418","8k1a","-1.0335","72","9h1","xbs","81i","-0.23932","y48"
"275","hxdqipe"," ","1.70607","-0.84725","p34","-0.07398","1pjo","1.08417","0.57751","0.20786","yu50","-0.33332","-0.28877","a82x","586","1.56956","du29t","0.02397","6m46","0.57209","g6","hk0","s7q","3n2","-1.45998","."
"276","jzfhnsa","p601u","1.09865","0.03502","a47","-0.0076","7o40","0.5761"," ","-0.44749","9c28","d","0.22233","t19k","7l1","-0.16936","6v2am","d","8i8b","0.94009","4e","753"," ","l36","1.70421","m57"
"277","avecfbp","02u9r","1.77848","1.01101","p68","0.84061","f","1.83632","0.62623","0.73603","2jw8","0.31783","0.54456","s2fp","7fo","1.03302","2fr08","0.67122","oy81","0.18213","4m"," ","938","i30","1.54352","731"
"278","lpbmodq","80tqp","0.49651","-1.3647","zt9","-0.72367","07f6","-0.20305","-1.78063","-0.11444","746k","-0.05457","-0.43222","mwvc","iqt",".","f4o66","-0.65419","8t5l","-0.21511","il","w7s","yl4","925","1.23592","zr8"
"279","cdxrvos","z3u4t","-0.95421","-0.09502","l38",".","9oqa","0.18482","1.53063","1.38013","s2k0","0.28606","0.47434",".","917","-1.13307","520o1","1.25492","pxko","1.03127","58","qzw","e39","04b","0.34652","5n5"
"280","rtnaekz"," ","0.63482","0.8745"," ","0.99974","oj62","1.13345","0.36321","-0.11405","4897","-0.06753","-0.40615","h9t6","pv9","1.02987","r6aep","-0.35027","rqeb","0.80018","0o","635","332","b98","-0.23001","h29"
"281","oariqtx","3610s","-1.53081","0.4382","7ad","-0.7355","mx37","-0.89933","0.36111","0.51887","95u2","-0.11755","1.58366","f07p","av8","-0.33102","253u4","-0.85818","3c51","0.12016","bi","i","2v5","l0k","1.0816","mxc"
"282","pitjmkq","97604","0.49116","1.26879","1tc","1.60853","9zu0","0.3328","-1.33232","0.51951","101n","0.14658","1.31642","69k2","5ny","0.80024","7846r","0.82141","1629","-0.52525","xb","nf5"," ","982","1.30173","68e"
"283","xqynjui","7o62d","0.88552","-0.44865","59h","0.39106","w933","-1.24253","-0.85126","1.33379","chw8","1.25688","-0.6388","28n6","4y2","0.5662","jw5ld","2.3547","5x90","1.13912","7g","kx0","u","6jy","0.77528","s73"
"284","tuiqzed","t1w46","1.09166","1.81961","hrg","-0.63146","crvi","0.35066","-0.64117","-1.09117","r292","-0.00251","-0.28111","vyzc","4i7","2.14019","rq399","0.43127","e78z","-1.16691","s6","064","g8e","0ev","0.39506","642"
"285","nvymaqu","8zi9g","-0.37726","-0.75828",".","0.29435","7t31","0.49588","0.24794","-0.2497","3opm","-0.08503"," ","700s","776","1.42648","4hpln","-0.08183","qof0","1.01041","1i","x11","3tp","223","0.77049","s79"
"286","nqigvwe","4r04f","0.20671","0.57773","8sl","2.00191","54k2","1.69132","0.7336","0.16121","n917","-0.24624","-0.92864","20s2","9yi","0.55005","0r095","1.5957","1q33","-0.16786","t6","u02","687","14j","-0.5662","220"
"287","ilapvkq","7359b","0.49644","-2.57358","ow7","-1.14656","53he","0.0688","-0.93204","0.61276","a4j1","-0.39514","-1.73244","fbq5","g81","-1.7686"," ",".","g7ne","0.09694","8o","48p","4pd","g7l","0.24353","bl5"
"288","uwanjce","66wct","0.77034","-0.15765","oqa","-0.17082","ogv6","0.01833","0.21798","-1.0146","r04c","-0.86156","q","9ti1","0p1","0.62547","z357p","0.7791","pw48","-0.4591","gz","397","3i5","5g8","1.6738","ofg"
"289","gbownhs","b3x36","1.25659","0.65474","7v4","-0.03341","hk8i","0.11194","0.9825","0.14743","5tw6","1.08062","0.47552","jmkp","bpa","0.74127","g5wae","1.68702","9440","2.52202","26","n00","mbo","0f2","0.53032","1mg"
"290","jwvqoan","j578c","0.31335","-1.363","ms0","-0.23515","2p3e","-0.73385","-0.1497","-0.1481","z5sf","-0.76627","0.44264","0l34","p8b","-1.43656","291f3","1.35805","d708","-0.83424","md","543","clp","m7p","-1.2403","78d"
"291","jeklbon","3ui39","2.38782","-0.24627","377","0.82361","6lc1","1.09552","1.15475","1.00505","f3wp","0.81655","0.94394","jr66","ekd","0.73992","jun4h","1.10639","k021","0.83079","43","yxq","0tf","4h1","0.41847","99r"
"292","nkrbgsw","n2o8a","0.01378","-1.64958","5nf","0.18918","0d1m"," ","1.06712","1.63808","74k7","-0.33539","-0.4791","185u","87y","0.31394","075r4","n","9621","-0.27047","ck","5b4","1mx","634","1.52436","d7c"
"293","qzvngxd","9we53","0.54939","1.02038","34v","0.2499","89hv","0.44317","0.63166","0.90332","uc9g","1.01508","-0.67381","0l16","x59","-0.04522","6zf47","-1.28832","n0t6","-0.31789","78","58n","k24","8o9","0.36523","384"
"294","jywsqul","0khxt","-1.00967","0.4201","vut","-0.39054","h1cw","0.10132","1.68702","0.67492","t45o","2.4304","-0.51883","9ahj","kon","0.29759","a41x0","-0.38766","fyv3","0.93821","05","852","242","37s","0.27623","880"
"295","hxznvuo","p417f","-1.74645","0.79279","119","0.6218"," ","-0.8621","-0.4642","-1.53906","h","1.22864","0.77099","0zgb","c5i","0.56609","141yd","-0.38525","22x0","-0.03576","h7","zs1","as6","v96","0.55576","d"
"296","ugatxzk","cr026","1.49546","1.44778","304","1.5968","y244","0.64069","1.71347",".","0fk9","1.66787","1.22977",".","590","0.80038","9mf9c","0.79123","0gzl","0.93403","33",".","a62","gkq","0.17552","73g"
"297","jpkzuhm","39958","0.19557","-0.976","002","-2.43513","345j","-0.60902","-1.48558","-0.74717","79u0","-1.59843","0.14691","a789","7il","-0.77277","q6581","-1.0702","if0p","-2.15684","9e","0qa","m4k","t81","0.4732","c81"
"298","itqwdco","d5r09","0.65069","0.05328","455","-0.33243","2nz6","-1.21261","0.33454","-0.28009","8t9g","o","-0.01506","w02d","8p1","-1.77579","tkjs6","1.06141","a479","0.71904","q8","204","1c4","2gx","-0.2838","0q5"
"299","xuwyqno","47aye","-1.86103","-0.26903","83x","-0.06022","8f47","-1.29002","-1.14823","0.1096","4s56","-1.50915","-0.47501","8v34",".","-0.90922","7zc29","-1.35978","4n06","-0.44772","90","c","hwz","m7a","-1.07894","89o"
"300","jtnkwcq","j4iem","-0.04171","0.13825","6gx","-0.48986","op3f","0.61064","-0.40316","-0.7121","3p44","-1.13792","-2.15439","oab2","94l","-0.33673","45pqg","-1.35928","y58n","-1.25953","7c","bt7","xrm","70s","0.35072","929"
"301","pemthok","9v6r1","0.57463","-0.22538","o","0.19591","fi67","-0.07817","0.68308"," ","v4a7","-0.04091","1.08247","m05d"," ","0.95202","5z0ca","g","8786","0.75367","p7","qk4","1e9","bk8","1.1619","l93"
"302","zlvopfx","0k8np","0.72705","-0.1973","n33","-0.06232","3b88","-0.26961","-1.08566","-0.28247","o424","-1.25814","-1.75605","rq0v","z30","-0.06279","j1o45","-0.32475","i991","-0.27246","78","mf1","7q5","0ab","0.11378","qec"
"303","zjshuqk","5df37","-0.46989","-1.0241","q50","0.79579","5726","0.83017","-1.40486","-0.69273","0u1r","-0.58839","-0.3107","0291","nxc","f","hj44l","-0.24071"," ","-0.04536","qf","6yw","9fw","8e0","-1.22407","7my"
"304","dmkzloc","f24y5","0.12813","-1.13159","9t2","-0.39336","hc2q","-1.532","-1.62984","-1.36913","07p5","-0.07839","0.04051","olhj","g35","0.16052","67m93","0.23311","so7a","0.87584","jv","6c7","3y8"," ","-1.91956","h2i"
"305","kmfojgp","l9cp2","-1.80589","1.19501","z48"," ","cku5","0.04749","0.02174","-1.27494","0w80","0.19557","-0.67537","g96e","190","-1.55507","4p62c","-0.26534","n821","-0.12554","k2","93z","3ru","xon","-1.02264","0by"
"306","ycjefvx","81kes","0.348","-0.0539","s90","-0.34426",".","0.51347","0.23714","-2.39427","n122","-0.55402","-1.01724","glw1","ds3","-0.24071"," ","-0.89713","7214","-0.2183","0q","85m","2a7","k40","0.65159","v6k"
"307","bzpwmqd","ndj9t","0.52303","-1.96325","229","0.0088","98c7","-0.11302","-1.16414","0.64591","36e7","1.57032","-1.26803"," ","h0o","-1.79369","n45xl","."," ","-0.13708","8x","h52","yr9","4x2","-0.76071","384"
"308","ctxblup","8n11r","0.6791","1.92443","9pf","-0.71234","b807","-0.83328","0.25566","1.27417","3l66","-1.07274","-0.86505","5fv6","8p6","1.94103","4t857","-0.55761","fe0x","1.05512","h4","31m","26p","v9d","1.57098","t5w"
"309","shzincq","yk144","-0.46948","-1.10331","860","-0.5036","30i1","-0.93401","-0.17969","-1.62007","ms1a","-0.82861","-0.19167","0819"," ","-2.36151","b4ga4","-0.05189","mf87","-1.40138","j9","6in"," ","wlm","-1.64597","drg"
"310","azkrigq","2fx86","-0.04738","1.63079","954","0.93479","j1k1","-0.58418","2.46628","2.13954","emu9","0.29063","0.62577","ki5v","eo7","-0.65929","59lxo","1.3778","d1l7","0.89433","tv","ibd","1m0","53y"," ","8bm"
"311","inshcmf","50o19","2.20427","1.26618","ng5","1.68911","slf8","2.77003","1.82516","-0.09035","12zv","2.06148","2.01899","9s66","ul8","2.28517","875et","0.88296","0521","2.22987","19","zki","3x8","uy6","-0.60419","q65"
"312","twbcife","4l4e0","0.35265","0.34056","g35","2.54575","20y4","-0.63769","-0.72008"," ","e36m","-0.11166","0.0449","wqed","9h2","0.15535","791u4","1.79624","or34","0.31268","39","08n","48i","916","2.40245","rgs"
"313","jhcblto","h","-0.75692","-2.25069","75h","-0.01141","2g77","0.27656","0.36152","-0.67133","8962","1.02421","0.86242","815z","270","-1.0441","7k2xb","-0.91129","805d","-0.79717","w3","put","764"," ","-1.8348","82b"
"314","zhtfsae","nx332","0.14799","0.11227"," ","1.18907","oh0i","-0.73414","0.63404","0.38699","1f62","0.36682","0.25012","uzty","32w","-1.0367","ukayv","1.06357","4if3","0.93282","5o","3sl","l","38d","2.04013","uz0"
"315","dpfgytx","61dxj","0.08217","-0.13153","rz0","0.44194","88d1","0.57357","0.48286","-0.04673","4803","w","-0.49333","w459","s6u","-0.49796"," ","-0.12808","t52d","0.41186","4y","q78","f86","4d9","0.30015","a51"
"316","esfkhnw","2vgqu","0.03891","-0.13091","i5n","0.4051","hov5","0.92279","1.52491","1.31648","q","0.90036","-1.18717","7ba5","3gs","-0.30065","4y209","-0.9628","053a","0.23874","b2","u5b","716","8yo","-1.71054","g42"
"317","azhistc","tl985","0.03789","0.4559","ank","1.56229","kh9l","0.4375","-0.60471","0.01704","4z5k","-0.06194","-1.36663","vh2y","f56","1.42613","7u05v","1.44759","ui1n","0.76186","a8","6j2","7xa","ukc","-0.61589","1ro"
"318","dsvakxe","e24ws","0.40278","0.47205","p74","2.93371","az87","1.82556","1.17858","0.78331","67h9","1.49297","0.4407","6405"," ","1.17142","5i7t1","1.45693","e456","0.51012","qz","929","9zs","z22","1.09015","ben"
"319","tohpnuv","ls8bx","-0.76341","-1.27301","wv5","x","u83f","-0.96474","-1.29855","-0.11783","4859","-1.32966","-1.38717","1p2v"," ","-0.7534","3pld0","-1.10156","pib3","0.40854","k1","fyz","a43","ksn","0.56418","2bz"
"320","zdfloti","4s876","a","-1.56901","82m","-0.74354","6417","-0.33795","0.15329","1.8772"," ","-0.61438","-0.70679","9610","sn5","0.39926","5479f","0.09162","2v64","-0.90842"," ","988","372","j75","0.13656","p"
"321","zisaeum","lz4yr","-0.12812","0.77203","vm7","-0.68381","laop","0.38199","0.84097","0.00785","a9i7","-1.43923","0.05942","pe7w","394","-1.30585","08g21","-1.72441","7ga6","-0.51569","zt","cs4","ji4","5tq","-0.04199","wgy"
"322","mpxuczw","h6823","-0.39705","0.87422",".","-0.80285","n85w","-1.13807","-1.33238","0.71497","29h5","1.02212","-0.2951","o172",".","0.19258","al1xm","-1.55569","5pw7","1.07478","h8","t7x","628","p6q","-0.35077","0m2"
"323","swdlqva","9e76j","1.72944","0.47898","234",".","t80a","0.22644","-1.61834","0.18288","t078","-0.38243","-0.02414","n5x6","7p6","1.35735","32ta0","-0.24812","6o18","0.75728","r3","a5c","nwi","068","-0.44229"," "
"324","cuhzmiy","5f7k0","-0.54833","-0.90163","9n1","-0.52661","1220"," ","-0.01184","0.73829","3m18","u","-0.72397","k1d6","5r5","-0.83917","k46fr","0.81104","6gix","-0.5102","xq","zpb","v27"," ","-0.45133","2zt"
"325","hulkmdo","0ef34","-1.30548","0.44127","644","-0.47548","ec98","-0.05737","-0.51924","0.27427","39t1","a","-0.46479","sz25","blx","-0.62633","7498n"," ","845r","0.79568","0m","50h","7n7","u8k","-0.67354","777"
"326","pygbctx","r","1.67062","1.84681","j","1.61571","5y65","-0.04768",".","-0.57095","38zq","1.10855"," ","8619","r40","1.31979","292e9","0.06925","h5k2","1.15802","b9","1lk","peq","jx7","0.61849","kb0"
"327","jaxmihl","e","-0.17643","1.67169","hdr","1.82945","q3u6","0.35545","0.99784","0.74341","2196","0.46472","1.05838","74q5","y75","0.99461","el318","0.59283","dkm8","0.69101"," ","lm3","870","s83","0.90678","2ao"
"328","fxdgwpj","1m177","-0.59888","-0.50061","e3s","0.02557","7au6","-2.42883","-1.45994","-1.65719","0824","-1.83352","-1.56124","4064","kau","-0.1881","fr456","0.32858","gicd","-0.5856","wt","v3a","329","alv","0.15905","f4j"
"329","jwnpxst","zo46b","0.60666","-0.1952","983","1.27683","cl32","-0.36371","0.19701","0.94205","tb4p","1.2075","1.42043","2418",".","0.54963","84ny1","1.82354","yz9p","-0.38665",".","1cw","sxz","bvs","0.10971","y56"
"330","sovgumj","hi157","0.89827","-1.38409","3ju","-0.48613","32r9","1.87612","-1.54061","1.12869","026r","0.75205","0.69356"," ",".","-1.02432","i14lm","-2.27875","k0i3","-0.9328","n1","1qw","2lp","j3y","0.45058","27m"
"331","ovribys","77b3m","-0.32186","0.80341","779","1.31161","luka"," ","0.29209","-0.71746","3vq7","2.36831","0.27406","px34","5g7","0.58837",".","-0.42956","9642","-1.28255","34","40q","8t9","p46","0.74388","596"
"332","bjytemf","s39lv","-0.29148","0.66718"," ","-0.32136","0rs9","-1.78214","0.06096","-0.88677","u2a8","-0.39777","-0.37766","0719","775","0.97865","ghl3r","-0.73599","u8si","1.19493","h8","359","bsv","3qk","-0.47708","v9n"
"333","qwhyrfa","4198b","-0.34028","-1.15598","84p","1.64275","548m","-0.49114","-0.60043","-1.99551","n59j",".","1.83528","6o0c","19l","0.78778","91643","-0.67231","ag7l","0.27574","70","56s","s24","9x4","-1.3696","91q"
"334","iqokjfg","7oqb2","-0.48517","0.22466","1r6","-0.44497","2ygh","-0.4495","1.24365","0.49249","ui5e","-0.39233","-0.46655","s76r","615","0.20872","t378v","0.35073","p263","0.60657","i0","6vo","d73","1ya","0.57592","l41"
"335","gsvfykb","0y42z","-1.48791","-0.71671","8po","-2.24187","55v6","-1.5009","0.69158","-0.47647","e58f","-0.06098","-1.44918","2569","8h1","-2.24924","h4v8l","t","9p5j","-1.2769","nc","m","7q7","128","0.78535","86q"
"336","fgczhrk","h1ec6","-0.04108","2.16211","8h4","0.1603","miph","0.68373","1.2449","-1.20091","45q7","0.54915","1.04286","246y","95o","0.66565","k85d6"," ","37le","0.69811","5l","ql6","239","3d8","a","ya7"
"337","axvgbwe"," ","-1.02024","1.03458","28j","0.07113","1mne","0.20497","-0.56255","-0.6732","fise","0.87268","-0.03604","f0l8","q46","-0.51141","5614v","-2.42364","6w5n","-1.33246","z1","1sg","98y","a60","0.84855","65h"
"338","uogyifk","8ij9h","1.41817","-0.04184","i61","-0.6046","h43o","-0.85091","-0.50959","-0.78906","m5uw","-0.42848","-0.86147","2b32","6yc","0.15216","628qt","-0.83863","40p8","-0.41722","s6","pgb","596","w13","-0.54237","056"
"339","jwpzesk","63k5d","-0.43866","0.31091","tqm","0.84841","w8i2","0.695","-0.21265","-0.31264","23rm","-0.3731","-0.29433","n7da","ru0","-0.1086","5w8ja","0.38189","u785","-0.08543","kq","b76","930","3hv","-0.59986","4dm"
"340","wncyjba","7zd54","-0.30004","0.97701","kx8","-1.00228","p92t","-0.72237","0.32742","-0.00975","r7p9","-1.55705","-2.04495","79qo","t56","-1.39089","83536","a","m0xr","1.34805","j0","a75","8n2","wm3","0.8016","3yx"
"341","oqylsxg","m8g6q","-0.78779",".","p7q","-2.16995","s41v","-0.51504","0.28119","-0.54163",".","0.10512","1.39029","4231","06x","-0.41286"," ","0.18332","33c9","-0.78942","57","ibe"," ","25l","-2.71471","9w7"
